Variable Name,Value,Type,Description
Boss 1-Beta Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 1-Beta Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 1-Beta Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 1-Beta Bullet Initial Speed,15,float,Initial Speed of boss's bullet
Boss 1-Beta Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 1-Beta Bullet Maximum Speed,30,float,Maximum speed of boss's bullet
Boss 1-Beta Bullet Lifespan,2,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 1-Gamma Variables,,,
Boss Pattern 1-Gamma Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 1-Gamma Fire Rate,15,float,Patterns per second
Boss Pattern 1-Gamma Repeat Count,20,int,How many times this pattern will repeat
Boss Pattern 1-Gamma Ending Lag,3,float,Ending lag duration (seconds)
Boss Pattern 1-Gamma Direction Count,8,int,Number of directions for bullets per pattern
Boss Pattern 1-Gamma Delta Angle,12,float,Difference of angle for next pattern
,,,
#Boss Pattern 1-Gamma Bullet Stats,,,
Boss 1-Gamma Bullet Damage,10,float,Base damage of the bullet
Boss 1-Gamma Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 1-Gamma Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 1-Gamma Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 1-Gamma Bullet Is Invincible,FALSE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 1-Gamma Bullet Initial Speed,5,float,Initial Speed of boss's bullet
Boss 1-Gamma Bullet Acceleration,5,float,Acceleration rate of the bullet
Boss 1-Gamma Bullet Maximum Speed,7,float,Maximum speed of boss's bullet
Boss 1-Gamma Bullet Lifespan,2.5,float,How long the bullet will be active (seconds)
,,,
,,,
#Boss Pattern 1-Delta Variables,,,
Boss Pattern 1-Delta Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 1-Delta Fire Rate,0.5,float,Patterns per second
Boss Pattern 1-Delta Repeat Count,5,int,How many times this pattern will repeat
Boss Pattern 1-Delta Ending Lag,4,float,Ending lag duration (seconds)
,,,
#Boss Pattern 1-Delta Wave Stats,,,
Boss 1-Delta Wave Bullet Damage,10,float,Base damage of the wave
Boss 1-Delta Wave Bullet Length,100,float,Length of the boss wave's capsule hitbox
Boss 1-Delta Wave Bullet Thickness,0.5,float,Thickness of the boss wave's capsule hitbox
Boss 1-Delta Wave Bullet Initial Speed,2.5,float,Initial Speed of boss's wave
Boss 1-Delta Wave Bullet Acceleration,10,float,Acceleration rate of the wave
Boss 1-Delta Wave Bullet Maximum Speed,15,float,Maximum speed of boss's wave
Boss 1-Delta Wave Bullet Lifespan,5,float,How long the wave will be active (seconds)
,,,
,,,
#Boss Pattern 1-Epsilon Variables,,,
Boss Pattern 1-Epsilon Initial Lag,1,float,Initial lag duration (seconds)
Boss Pattern 1-Epsilon Duration,10,float,Duration of the pattern
Boss Pattern 1-Epsilon Ending Lag,3,float,Ending lag duration (seconds)
Boss Pattern 1-Epsilon Wave Count,2,int,Number of waves in a pattern
Boss Pattern 1-Epsilon Bullet Count,6,int,Number of bullets in a pattern
,,,
#Boss Pattern 1-Epsilon Spinning Wave Stats,,,
Boss 1-Epsilon Wave Bullet Damage,10,float,Base damage of the wave
Boss 1-Epsilon Wave Bullet Length,100,float,Length of the boss wave's capsule hitbox
Boss 1-Epsilon Wave Bullet Thickness,0.5,float,Thickness of the boss wave's capsule hitbox
Boss 1-Epsilon Wave Bullet Initial Speed,30,float,Degrees spinned per second
Boss 1-Epsilon Wave Bullet Acceleration,30,float,Acceleration rate of the spin
Boss 1-Epsilon Wave Bullet Maximum Speed,60,float,Maximum speed of boss's wave
Boss 1-Epsilon Wave Bullet Lifespan,10,float,How long the wave will be active (seconds)
Boss 1-Epsilon Wave Bullet Spin Speed,60,float,Degrees spinned per second
,,,
#Boss Pattern 1-Epsilon Bullet Stats,,,
Boss 1-Epsilon Bullet Damage,10,float,Base damage of the bullet
Boss 1-Epsilon Bullet Damage Against Projectile,20,float,Base damage of the bullet (against Projectiles)
Boss 1-Epsilon Bullet Size,0.25,float,Radius of the boss bullet's sphere hitbox
Boss 1-Epsilon Bullet Is Transcendant,FALSE,bool,"If TRUE, this bullet will go through other bullets"
Boss 1-Epsilon Bullet Is Invincible,TRUE,bool,"If TRUE, this bullet will not be destructible by other bullets"
Boss 1-Epsilon Bullet Initial Speed,8,float,Initial Speed of boss's bullet
Boss 1-Epsilon Bullet Acceleration,1000,float,Acceleration rate of the bullet
Boss 1-Epsilon Bullet Maximum Speed,8,float,Maximum speed of boss's bullet
Boss 1-Epsilon Bullet Lifespan,10,float,How long the bullet will be active (seconds)
Boss 1-Epsilon Bullet Orbit Radius,4,float,Radius of the circular motion
,,,
,,,
#Boss AOE Pattern Variables,,,
Boss AOE Pattern Initial Lag,1,float,Initial lag duration (seconds)
Boss AOE Pattern Fire Rate,1,float,Patterns per second
Boss AOE Pattern Repeat Count,5,int,How many times this pattern will repeat
Boss AOE Pattern Ending Lag,3,float,Ending lag duration (seconds)
,,,
#Boss AOE Pattern Stats,,,
Boss AOE Bullet Damage,10,float,Base damage of the bullet
Boss AOE Bullet Damage Against Projectile,0,float,Base damage of the bullet (against Projectiles)
Boss AOE Bullet Size,5,float,Radius of the boss bullet's sphere hitbox
Boss AOE Bullet Initial Speed,0,float,Initial Speed of boss's bullet
Boss AOE Bullet Acceleration,0,float,Acceleration rate of the bullet
Boss AOE Bullet Maximum Speed,0,float,Maximum speed of boss's bullet
Boss AOE Bullet Initial Delay,0.6,float,How long the bullet will take to shoot (seconds)
Boss AOE Bullet Active Time,0.1,float,How long the bullet will be active (seconds)
